Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Шайба для поликорбоната;селикон ;;;600;14,00 ₽;8 400,00 ₽;;
Шайба для поликорбоната;пластик коричневая;;;500;10,00 ₽;5 000,00 ₽;;
Итог;;;;;;13 400,00 ₽;;
