Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Ламель ролетт Дорхан 58 ;Коричневая;;2400;8;1 000,00 ₽;8 000,00 ₽;;
Ролик пластиковый для роллет;белый;;;7;300,00 ₽;2 100,00 ₽;;
Итог;;;;;;10 100,00 ₽;;
