Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Защелка деревянных дверей;черная;;;3;350,00 ₽;1 050,00 ₽;;
Петля AGB 2,0;Черная ;;;39;2 000,00 ₽;78 000,00 ₽;;
Шлегель;Чернный;;;20;10,00 ₽;200,00 ₽;;
Итог;;;;;;79 250,00 ₽;;
