Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Замок DORMACABBA;Электромеханический;;;1;32 000,00 ₽;32 000,00 ₽;;
Ручка дверная Алюминий;Стублина коричневая;;;1;3 000,00 ₽;3 000,00 ₽;;
Накладка для цилиндра Алюминий;;;;6;250,00 ₽;1 500,00 ₽;;
Ответная планка Алюминий;Дормакаба;;;3;500,00 ₽;1 500,00 ₽;;
Стартовая под СП Алюминий;;10;;20;2,00 ₽;40,00 ₽;;
Стартовая под СП Алюминий;;20;;20;2,00 ₽;40,00 ₽;;
Стопор для раздвижки Алютех;;;;1;500,00 ₽;500,00 ₽;;
Шпингалет для Алюминиевой двери;;;;4;1 000,00 ₽;4 000,00 ₽;;
Итог;;;;;;42 580,00 ₽;;
