Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за штуку;Стоимость ;Примечание ;Фото
Зеркало;;900;2480;1;15 000,00 ₽;15 000,00 ₽;;#ЗНАЧ!
Зеркало;;2175;1496;1;17 100,00 ₽;17 100,00 ₽;;#ЗНАЧ!
Зеркало;;1135;1495;1;4 500,00 ₽;4 500,00 ₽;;
;;;;;;0,00 ₽;;
;;;;;;0,00 ₽;;
Итог;;;;;;36 600,00 ₽;;
