Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
прокладка кранштейна;70*70;;;2100;4,27 ₽;8 967,00 ₽;;
Кранштейн ;70*200;;;720;52,00 ₽;37 440,00 ₽;;
Заклепака;4,8*10 нержавейка;;;3000;2,50 ₽;7 500,00 ₽;;
Заклепака;3,8*10 Антрацит;;;500;2,00 ₽;1 000,00 ₽;;
Заклепака;4,8*21;;;3000;4,60 ₽;13 800,00 ₽;;
Втулпа под заклепку;;;;4000;1,90 ₽;7 600,00 ₽;;
Итог;;;;;;76 307,00 ₽;;
