Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Лента монтажная внутреняя ;;120;;1,5;150,00 ₽;225,00 ₽;;
Лента монтажная наружняя;;120;;1,5;150,00 ₽;225,00 ₽;;
Итог;;;;;;450,00 ₽;;
