Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Ответная ручка Для Антипаники ;Черная;;;2;2 275,00 ₽;4 550,00 ₽;;
Антипаника ;Черная;;;1;6 200,00 ₽;6 200,00 ₽;;
Перекладина для антипаники;красная;;1150;12;900,00 ₽;10 800,00 ₽;;
ручки антипаника ответная ;черная;;;10;300,00 ₽;3 000,00 ₽;;
Итог;;;;;;24 550,00 ₽;;
